iter	Passed	Remaining
627	1496	886
628	1498	883
629	1501	881
630	1503	879
631	1505	876
632	1507	873
633	1509	871
634	1511	868
635	1513	866
636	1516	863
637	1518	861
638	1520	858
639	1523	856
640	1525	854
641	1527	851
642	1529	849
643	1532	846
644	1533	844
645	1536	841
646	1538	839
647	1540	836
648	1543	834
649	1545	832
650	1547	829
651	1549	827
652	1552	825
653	1554	822
654	1558	820
655	1560	818
656	1562	815
657	1564	813
658	1566	810
659	1569	808
660	1571	805
661	1574	803
662	1576	801
663	1578	798
664	1581	796
665	1583	794
666	1585	791
667	1587	789
668	1590	786
669	1592	784
670	1593	781
671	1596	779
672	1599	777
673	1601	774
674	1603	772
675	1605	769
676	1607	766
677	1610	764
678	1612	762
679	1614	759
680	1615	756
681	1618	754
682	1620	752
683	1622	749
684	1624	747
685	1627	744
686	1628	742
687	1630	739
688	1632	736
689	1635	734
690	1636	731
691	1638	729
692	1640	726
693	1642	724
694	1644	721
695	1646	719
696	1648	716
697	1650	714
698	1652	711
699	1655	709
700	1657	707
701	1659	704
702	1661	701
703	1663	699
704	1665	696
705	1666	694
706	1669	691
707	1671	689
708	1673	686
709	1675	684
710	1678	682
711	1680	679
712	1684	678
713	1687	675
714	1688	673
715	1690	670
716	1693	668
717	1694	665
718	1696	663
719	1698	660
720	1701	658
721	1703	655
722	1704	653
723	1707	650
724	1709	648
725	1711	645
726	1713	643
727	1716	641
728	1718	638
729	1719	636
730	1721	633
731	1724	631
732	1725	628
733	1727	626
734	1731	624
735	1732	621
736	1734	619
737	1737	616
738	1739	614
739	1741	611
740	1743	609
741	1746	607
742	1748	604
743	1751	602
744	1753	600
745	1755	597
746	1758	595
747	1761	593
748	1763	590
749	1765	588
750	1767	585
751	1768	583
752	1771	580
753	1773	578
754	1774	575
755	1776	573
756	1778	571
757	1780	568
758	1782	566
759	1784	563
760	1786	561
761	1788	558
762	1789	555
763	1791	553
764	1793	550
765	1794	548
766	1796	545
767	1798	543
768	1800	540
769	1802	538
770	1804	535
771	1806	533
772	1808	531
773	1811	528
774	1813	526
775	1815	524
776	1817	521
777	1819	519
778	1820	516
779	1822	514
780	1824	511
781	1826	509
782	1827	506
783	1829	504
784	1831	501
785	1832	499
786	1834	496
787	1837	494
788	1839	491
789	1840	489
790	1842	486
791	1844	484
792	1845	481
793	1847	479
794	1849	476
795	1851	474
796	1853	472
797	1855	469
798	1857	467
799	1859	464
800	1860	462
801	1862	459
802	1864	457
803	1866	455
804	1868	452
805	1870	450
806	1873	447
807	1874	445
808	1876	443
809	1878	440
810	1880	438
811	1881	435
812	1883	433
813	1885	430
814	1887	428
815	1888	425
816	1890	423
817	1892	420
818	1893	418
819	1895	416
820	1897	413
821	1900	411
822	1902	409
823	1904	406
824	1905	404
825	1907	401
826	1909	399
827	1911	397
828	1913	394
829	1915	392
830	1917	389
831	1919	387
832	1921	385
833	1924	383
834	1927	380
835	1929	378
836	1931	376
837	1934	374
838	1936	371
839	1939	369
840	1942	367
841	1945	364
842	1946	362
843	1949	360
844	1950	357
845	1952	355
846	1954	353
847	1956	350
848	1958	348
849	1961	346
850	1964	343
851	1966	341
852	1968	339
853	1970	336
854	1972	334
855	1974	332
856	1975	329
857	1977	327
858	1979	324
859	1981	322
860	1983	320
861	1985	317
862	1987	315
863	1989	313
864	1991	310
865	1993	308
866	1995	306
867	1997	303
868	2000	301
869	2002	299
870	2004	296
871	2006	294
872	2008	292
873	2010	289
874	2011	287
875	2013	285
876	2016	282
877	2018	280
878	2020	278
879	2022	275
880	2024	273
881	2026	271
882	2028	268
883	2030	266
884	2032	264
885	2034	261
886	2036	259
887	2038	257
888	2040	254
889	2042	252
890	2044	250
891	2047	247
892	2049	245
893	2051	243
894	2053	240
895	2055	238
896	2057	236
897	2060	233
898	2061	231
899	2065	229
900	2068	227
901	2070	224
902	2072	222
903	2074	220
904	2076	217
905	2077	215
906	2079	213
907	2081	210
908	2083	208
909	2085	206
910	2088	204
911	2090	201
912	2092	199
913	2096	197
914	2098	194
915	2100	192
916	2102	190
917	2104	188
918	2106	185
919	2109	183
920	2111	181
921	2113	178
922	2115	176
923	2117	174
924	2119	171
925	2121	169
926	2123	167
927	2125	164
928	2127	162
929	2130	160
930	2132	158
931	2134	155
932	2137	153
933	2139	151
934	2140	148
935	2143	146
936	2145	144
937	2147	141
938	2149	139
939	2152	137
940	2154	135
941	2157	132
942	2159	130
943	2161	128
944	2162	125
945	2164	123
946	2166	121
947	2169	118
948	2171	116
949	2173	114
950	2175	112
951	2177	109
952	2179	107
953	2181	105
954	2183	102
955	2184	100
956	2187	98
957	2189	95
958	2191	93
959	2194	91
960	2196	89
961	2198	86
962	2201	84
963	2203	82
964	2205	80
965	2208	77
966	2210	75
967	2212	73
968	2214	70
969	2216	68
970	2218	66
971	2220	63
972	2222	61
973	2225	59
974	2226	57
975	2228	54
976	2232	52
977	2238	50
978	2240	48
979	2242	45
980	2245	43
981	2247	41
982	2249	38
983	2251	36
984	2254	34
985	2256	32
986	2257	29
987	2259	27
988	2261	25
989	2264	22
990	2266	20
991	2268	18
992	2271	16
993	2272	13
994	2275	11
995	2277	9
996	2279	6
997	2282	4
998	2284	2
999	2285	0
